product_id,product_names,sale_offs,sales_prices,origin_prices,purchases,num_raters,ratings,categories_str,category_id,name_len,category_len
0,Áo khoác nam Akuba -3307 - Xanh,0.325427822,252918.8976,520000,165,1,80,Áo khoác,0,31,8
1,Áo khoác Bomber Nam Nữ 1980 phong cách - Xanh đen,0.31,165000,239000,521,13,86,Áo khoác,0,49,8
2,Áo khoác nam nữ chống tia UV xám thể thao - A,0.29,375000,525000,180,4,80,Áo khoác,0,45,8
3,Áo khoác nam nữ AW phong cách - Đỏ đô,0.31,165000,239000,183,1,80,Áo khoác,0,37,8
4,Áo khoác unisex phối chữ cá tính - Trắng,0.34,179000,270000,326,3,87,Áo khoác,0,40,8
5,Áo khoác Bomber Nam Nữ cá tính - Xanh đen,0.33,160000,239000,508,1,80,Áo khoác,0,41,8
6,Áo khoác dù nam nữ phong cách - Tím,0.33,209000,310000,325,3,80,Áo khoác,0,35,8
7,Áo khoác unisex phối chữ cá tính - Đen,0.34,179000,270000,326,3,87,Áo khoác,0,38,8
8,Áo khoác nam nữ D2 cá tính - Đen,0.28,205000,285000,190,1,100,Áo khoác,0,32,8
9,Áo khoác dù nam nữ cá tính - Xanh dương,0.33,235000,350000,302,5,96,Áo khoác,0,39,8
10,Áo khoác Kaki Pilot Landing trẻ trung - Xanh rêu,0.31,165000,239000,345,4,80,Áo khoác,0,48,8
11,Áo khoác dù nam nữ phong cách - Đen,0.33,209000,310000,325,3,80,Áo khoác,0,35,8
12,Áo khoác kaki nam nữ thể thao phối viền - Xanh đen,0.36,240000,375000,328,5,88,Áo khoác,0,50,8
13,Áo khoác nam nữ D2 cá tính - Xanh,0.28,205000,285000,190,1,100,Áo khoác,0,33,8
14,Áo khoác nam Akuba cao cấp -3309 - Xanh rêu,0.325427822,252918.8976,600000,178,1,80,Áo khoác,0,43,8
15,Áo khoác Bomber Nam Nữ cá tính - Xanh lính,0.33,160000,239000,508,1,80,Áo khoác,0,42,8
16,Áo khoác unisex phối chữ cá tính - Xám,0.34,179000,270000,326,3,87,Áo khoác,0,38,8
17,Áo khoác nam nữ chống tia UV 3 sọc thể thao - Xám,0.27,415000,565000,180,1,80,Áo khoác,0,49,8
18,Áo khoác Bomber Nam Nữ 1980 phong cách - Trắng,0.31,165000,239000,521,13,86,Áo khoác,0,46,8
19,Áo khoác Bomber Nam Nữ cá tính - Đen,0.33,160000,239000,508,1,80,Áo khoác,0,36,8
20,Áo khoác kaki nam nữ cổ lọ AL cá tính - Đỏ đô,0.3,245000,350000,475,14,80,Áo khoác,0,45,8
21,Áo khoác kaki nam nữ rằn ri E-Sport sành điệu - Nâu,0.4,225000,375000,265,7,80,Áo khoác,0,51,8
22,Áo khoác nam nữ AW phong cách - Xanh rêu,0.31,165000,239000,183,1,80,Áo khoác,0,40,8
23,Áo khoác nam nữ chống tia UV xám thể thao - B,0.29,375000,525000,180,4,80,Áo khoác,0,45,8
24,Áo khoác nam Akuba cao cấp -3309 - Da,0.325427822,252918.8976,600000,178,1,80,Áo khoác,0,37,8
25,Áo khoác kaki nam nữ Fast & Furious 7 - Đỏ,0.38,250000,400000,325,6,80,Áo khoác,0,42,8
26,Áo khoác Bomber Nam Nữ 1980 phong cách - Đen,0.31,165000,239000,521,13,86,Áo khoác,0,44,8
27,Áo khoác nam nữ phối dây kéo thời trang - Đỏ,0.28,250000,345000,422,7,80,Áo khoác,0,44,8
28,Áo cardigan nam phong cách hàn quốc - Xanh đen,0.3,299000,430000,197,1,80,Áo khoác,0,46,8
29,Áo khoác nam Iron-man - Đen,0.33,250000,375000,269,1,80,Áo khoác,0,27,8
30,Áo khoác nam Akuba cao cấp -3309 - Đen,0.325427822,252918.8976,600000,178,1,80,Áo khoác,0,38,8
31,Áo khoác dù nam nữ cá tính - Xanh lá,0.33,235000,350000,302,5,96,Áo khoác,0,36,8
32,Áo khoác kaki nam nữ Onymax cá tính - Đen,0.34,299000,450000,126,1,80,Áo khoác,0,41,8
33,Áo khoác nam nữ hai dây kéo cá tính - Xanh,0.28,250000,345000,323,2,80,Áo khoác,0,42,8
34,Áo khoác nam nữ AW phong cách - Đen,0.31,165000,239000,183,1,80,Áo khoác,0,35,8
35,Áo khoác nam nữ phối dây kéo thời trang - Nâu,0.28,250000,345000,422,7,80,Áo khoác,0,45,8
36,Áo khoác kaki nam nữ đại bàng cá tính - Trắng,0.29,245000,345000,600,17,80,Áo khoác,0,45,8
37,Áo khoác nam Akuba cao cấp -3309 - Kem,0.325427822,252918.8976,600000,178,1,80,Áo khoác,0,38,8
38,Áo khoác Kaki Pilot Landing trẻ trung - Đen,0.31,165000,239000,345,4,80,Áo khoác,0,43,8
39,Áo khoác dù nam nữ dây kéo màu cá tính - Xanh,0.39,149000,245000,243,1,80,Áo khoác,0,45,8
40,Áo khoác kaki nam nữ cổ lọ phối túi - Nâu,0.3,245000,350000,187,5,80,Áo khoác,0,41,8
41,Áo khoác dù nam nữ phong cách - Xanh,0.33,209000,310000,325,3,80,Áo khoác,0,36,8
42,Áo khoác unisex phối chữ cá tính - Xanh đen,0.34,179000,270000,326,3,87,Áo khoác,0,43,8
43,Áo Cardigan thu đông lãng tử - Đen,0.3,385000,550000,204,1,80,Áo khoác,0,34,8
44,Áo khoác Kaki Pilot Landing trẻ trung - Xám,0.31,165000,239000,345,4,80,Áo khoác,0,43,8
45,Áo khoác kaki nam nữ cổ lọ phối da - Đen,0.3,245000,350000,232,1,80,Áo khoác,0,40,8
46,Áo khoác Bomber Nam Nữ cá tính - Đỏ đô,0.33,160000,239000,508,1,80,Áo khoác,0,38,8
47,Áo khoác nam Iron-man - Xanh dương,0.33,250000,375000,269,1,80,Áo khoác,0,34,8
